Code,Area,Number of Individuals,Mean £,Median £
E09000002,Barking and Dagenham,85000,28800,25200
E09000003,Barnet,188000,51600,29900
E09000004,Bexley,130000,34600,26900
E09000005,Brent,159000,36300,25600
E09000006,Bromley,177000,46600,32800
E09000007,Camden,106000,87400,35600
E09000008,Croydon,187000,36500,27800
E09000009,Ealing,173000,39800,26400
E09000010,Enfield,143000,37200,27300
E09000011,Greenwich,135000,41300,27400
E09000012,Hackney,116000,44900,29600
E09000013,Hammersmith and Fulham,99000,72600,34100
E09000014,Haringey,130000,46300,27400
E09000015,Harrow,131000,39300,27600
E09000016,Havering,131000,37100,29700
E09000017,Hillingdon,141000,36800,28100
E09000018,Hounslow,140000,42000,27800
E09000019,Islington,113000,63900,35100
E09000020,Kensington and Chelsea,72000,173000,39300
E09000021,Kingston-upon-Thames,84000,50300,33300
E09000022,Lambeth,170000,47500,31900
E09000023,Lewisham,140000,38000,27900
E09000024,Merton,108000,56300,30300
E09000025,Newham,154000,31000,24300
E09000026,Redbridge,138000,37100,27300
E09000027,Richmond-upon-Thames,105000,73800,37600
E09000028,Southwark,158000,49400,31400
E09000029,Sutton,101000,38500,29700
E09000030,Tower Hamlets,136000,49300,31100
E09000031,Waltham Forest,134000,33700,26800
E09000032,Wandsworth,168000,70400,37100
E09000033,Westminster,102000,120000,39200
